;operation_time;symbol;operation_type;position;coin_amount;price;fee;comission;comission_fee;after_comission_calculated_coin_amount;total_cash;stop_price;sell_price;explanation
0;2021-01-01 19:35:00;btcusdt;Buy;Short;0.03424;29203.53;999.9288671999999;3.424e-05;0.9999288671999998;0.03420576;999.0000711328001;29297.16625215131;29063.07562177303;
1;2021-01-01 19:45:00;btcusdt;Buy;Short;0.03420576;29063.07562177303;999.9288671999999;3.420576e-05;0.9941245895802191;0.03417155424;1003.6779341616285;-;-;Profit!
2;2021-01-01 20:25:00;btcusdt;Buy;Short;0.0345;29088.25;1003.5446250000001;3.4500000000000005e-05;1.0035446250000002;0.0344655;1002.6743895366285;29214.86572380982;28898.32641428527;
3;2021-01-01 20:40:00;btcusdt;Buy;Short;0.0344655;28898.32641428527;1003.5446250000001;3.4465500000000004e-05;0.9959952690315491;0.034431034500000006;1009.0924540270694;-;-;Profit!
4;2021-01-01 23:50:00;btcusdt;Buy;Short;0.03459;29170.3;1009.0006770000001;3.4590000000000006e-05;1.0090006770000002;0.03455541;1008.0834533500692;29259.743836618123;29036.13424507281;
5;2021-01-02 00:15:00;btcusdt;Sell;Short;0.03455541;29259.743836618123;1009.0006770000001;3.4555410000000005e-05;1.0110824447693123;0.034520854590000004;1004.75268983887;-;-;Loss!
6;2021-01-02 00:25:00;btcusdt;Buy;Long;0.03432;29279.27;1004.8645464000001;3.4320000000000003e-05;1.0048645464000001;0.034285680000000006;1003.74782529247;29193.032513675007;29408.62622948749;
7;2021-01-02 02:15:00;btcusdt;Buy;Long;0.034285680000000006;29193.032513675007;999.9020680224636;3.428568000000001e-05;1.0009029709934572;0.03425139432;999.7902114613335;-;-;Loss!
8;2021-01-02 03:20:00;btcusdt;Buy;Long;0.0342;29230.0;999.666;3.4200000000000005e-05;0.9996660000000002;0.0341658;998.7905454613335;29124.845953636912;29387.731069544632;
9;2021-01-02 03:45:00;btcusdt;Sell;Long;0.0341658;29387.731069544632;1003.0512868336723;3.4165800000000004e-05;1.004055342175848;0.034131634200000004;1003.1754982950057;-;-;Profit!
10;2021-01-02 06:45:00;btcusdt;Buy;Long;0.03417;29356.34;1003.1061377999999;3.417e-05;1.0031061378;0.03413583;1002.1723921572058;29278.614626819388;29472.92805977092;
11;2021-01-02 07:20:00;btcusdt;Sell;Long;0.03413583;29472.92805977092;1005.0767789887194;3.413583e-05;1.00608286185057;0.03410169417;1005.1461394837252;-;-;Profit!
12;2021-01-02 10:10:00;btcusdt;Buy;Long;0.03372;29806.61;1005.0788892;3.372e-05;1.0050788892;0.03368628;1004.1410605945251;29708.652189234348;29953.546716148478;
13;2021-01-02 10:15:00;btcusdt;Buy;Long;0.03368628;29708.652189234348;999.773202093092;3.368628e-05;1.0007739760691612;0.03365259372;999.8404523768171;-;-;Loss!
14;2021-01-02 12:30:00;btcusdt;Buy;Long;0.03357;29779.98;999.7139286;3.3570000000000006e-05;0.9997139286000002;0.033536430000000006;998.8407384482173;29639.897737015333;29990.103394477;
15;2021-01-02 13:20:00;btcusdt;Buy;Long;0.033536430000000006;29639.897737015333;993.0223393089087;3.353643000000001e-05;0.9940163556645734;0.033502893570000004;993.1488630857258;-;-;Loss!
16;2021-01-02 13:50:00;btcusdt;Buy;Long;0.03338;29756.86;993.2839868;3.338e-05;0.9932839868000001;0.03334662;992.1555790989258;29657.073231804305;29906.540152293543;
17;2021-01-02 14:15:00;btcusdt;Sell;Long;0.03334662;29906.540152293543;996.2847479433017;3.334662e-05;0.9972820299732749;0.03331327338;996.1496242290275;-;-;Profit!
18;2021-01-02 17:50:00;btcusdt;Buy;Long;0.03138;31743.42;996.1085195999999;3.138e-05;0.9961085196;0.03134862;995.1535157094276;31532.409607708327;32059.935588437504;
19;2021-01-02 18:05:00;btcusdt;Sell;Long;0.03134862;32059.935588437504;1004.0297032484173;3.134862e-05;1.0050347379864037;0.03131727138;1004.0708078774448;-;-;Profit!
20;2021-01-02 21:00:00;btcusdt;Buy;Long;0.03043;32999.98;1004.1893914000001;3.043e-05;1.0041893914;0.030399569999999997;1003.0666184860447;32701.88224640191;33447.12663039714;
21;2021-01-02 21:00:00;btcusdt;Buy;Long;0.030399569999999997;32701.88224640191;993.1290353227708;3.0399569999999997e-05;0.994123158481252;0.03036917043;993.0104518002156;-;-;Loss!
22;2021-01-03 01:55:00;btcusdt;Buy;Long;0.03093;32100.04;992.8542372000001;3.093e-05;0.9928542371999999;0.03089907;992.0175975630156;31789.915610616445;32565.226584075335;
23;2021-01-03 03:20:00;btcusdt;Sell;Long;0.03089907;32565.226584075335;1005.2289805714175;3.089907e-05;1.0062352157872048;0.03086817093;1005.3851951716331;-;-;Profit!
24;2021-01-03 04:40:00;btcusdt;Buy;Long;0.03059;32865.34;1005.3507505999999;3.059e-05;1.0053507506;0.03055941;1004.3798444210331;32678.199808344347;33146.05028748347;
25;2021-01-03 05:00:00;btcusdt;Buy;Long;0.03055941;32678.199808344347;997.6278794991111;3.055941e-05;0.9986265060051163;0.03052885059;997.6623240707444;-;-;Loss!
26;2021-01-03 06:45:00;btcusdt;Buy;Long;0.03049;32717.8;997.5657219999999;3.049e-05;0.997565722;0.03045951;996.6647583487444;32566.75396845845;32944.36904731232;
27;2021-01-03 06:50:00;btcusdt;Sell;Long;0.03045951;32944.36904731232;1002.4658691018598;3.045951e-05;1.0034693384403002;0.030429050489999998;1002.5624711726042;-;-;Profit!
28;2021-01-03 09:25:00;btcusdt;Buy;Long;0.0291;34450.01;1002.4952910000001;2.9100000000000003e-05;1.0024952910000002;0.0290709;1001.5599758816043;34163.34793848351;34880.00309227474;
29;2021-01-03 09:55:00;btcusdt;Buy;Long;0.0290709;34163.34793848351;992.1661123132753;2.90709e-05;0.9931592715848602;0.0290418291;992.2332924858795;-;-;Loss!
30;2021-01-03 13:05:00;btcusdt;Buy;Long;0.02912;34073.59;992.2229408;2.912e-05;0.9922229407999998;0.02909088;991.2410695450794;33744.03413647853;34567.9237952822;
31;2021-01-03 14:00:00;btcusdt;Sell;Long;0.02909088;34567.9237952822;1004.6057116547214;2.909088e-05;1.005611322977699;0.02906178912;1004.6160633406009;-;-;Profit!
