;operation_time;symbol;operation_type;position;coin_amount;price;fee;comission;comission_fee;after_comission_calculated_coin_amount;total_cash;stop_price;sell_price;explanation
1543;2021-03-25 04:00:00;btcusdt;Buy;Short;0.0045954;51511.575559069446;239.752966;4.5954e-06;0.23671629432414773;0.004590804600000001;241.804194953214;-;-;Profit!
1544;2021-03-25 05:30:00;btcusdt;Buy;Short;0.00465;52003.38;241.81571699999998;4.6499999999999995e-06;0.24181571699999996;0.0046453499999999995;241.56237923621399;52389.93372595099;51423.5494110735;
1545;2021-03-25 06:10:00;btcusdt;Sell;Short;0.0046453499999999995;52389.93372595099;241.81571699999998;4.6453499999999995e-06;0.24336957863384642;0.00464070465;239.3351360627184;-;-;Loss!
1546;2021-03-25 08:45:00;btcusdt;Buy;Short;0.00453;52853.97;239.42848410000002;4.530000000000001e-06;0.23942848410000003;0.00452547;239.09570757861837;53113.197197073845;52465.12920438923;
1547;2021-03-25 09:05:00;btcusdt;Sell;Short;0.00452547;53113.197197073845;239.42848410000002;4.5254700000000006e-06;0.2403621805194418;0.00452094453;237.48330604998014;-;-;Loss!
1548;2021-03-25 13:30:00;btcusdt;Buy;Short;0.0045;52726.78;237.27050999999997;4.5e-06;0.23727051;0.0044954999999999995;237.24603553998014;52994.42634915302;52325.31047627046;
1549;2021-03-25 13:45:00;btcusdt;Buy;Short;0.0044954999999999995;52325.31047627046;237.27050999999997;4.4954999999999996e-06;0.23522843324607384;0.0044910044999999996;238.82934206099569;-;-;Profit!
1550;2021-03-25 16:50:00;btcusdt;Buy;Short;0.00466;51211.93;238.6475938;4.66e-06;0.2386475938;0.00465534;238.59069446719568;51638.37507652291;50572.26238521563;
1551;2021-03-25 18:05:00;btcusdt;Buy;Short;0.00465534;50572.26238521563;238.6475938;4.65534e-06;0.23543107597238977;0.00465068466;240.92543770577214;-;-;Profit!
1552;2021-03-25 20:25:00;btcusdt;Buy;Short;0.00467;51609.72;241.01739239999998;4.67e-06;0.2410173924;0.00466533;240.68442031337216;51986.01716788446;51045.27424817331;
1553;2021-03-25 20:30:00;btcusdt;Sell;Short;0.00466533;51986.01716788446;241.01739239999998;4.66533e-06;0.24253192547384642;0.00466066467;238.71558489759198;-;-;Loss!
1554;2021-03-25 21:20:00;btcusdt;Buy;Short;0.00458;52091.18;238.57760439999998;4.58e-06;0.2385776044;0.00457542;238.477007293192;52439.44824465727;51568.77763301409;
1555;2021-03-25 22:10:00;btcusdt;Sell;Short;0.00457542;52439.44824465727;238.57760439999998;4.57542e-06;0.23993250028756977;0.00457084458;236.45103410804754;-;-;Loss!
1556;2021-03-25 22:40:00;btcusdt;Buy;Short;0.00453;52151.32;236.2454796;4.530000000000001e-06;0.23624547960000003;0.00452547;236.21478862844754;52490.52650845361;51642.510237319584;
1557;2021-03-25 23:50:00;btcusdt;Sell;Short;0.00452547;52490.52650845361;236.2454796;4.5254700000000006e-06;0.23754430299821158;0.00452094453;234.24666048618047;-;-;Loss!
1558;2021-03-26 04:15:00;btcusdt;Buy;Short;0.0045;52100.72;234.45324;4.5e-06;0.23445324;0.0044954999999999995;234.01220724618045;52342.367389077786;51738.24891638332;
1559;2021-03-26 04:20:00;btcusdt;Buy;Short;0.0044954999999999995;51738.24891638332;234.45324;4.4954999999999996e-06;0.2325892980036012;0.0044910044999999996;235.4229801804895;-;-;Profit!
1560;2021-03-26 06:50:00;btcusdt;Buy;Long;0.00448;52515.26;235.2683648;4.4799999999999995e-06;0.2352683648;0.004475519999999999;235.18771181568948;52264.95313823074;52890.720292653896;
1561;2021-03-26 07:10:00;btcusdt;Sell;Long;0.004475519999999999;52890.720292653896;236.47676300769416;4.4755199999999995e-06;0.23671347648417834;0.004471044479999999;236.63137838818366;-;-;Profit!
1562;2021-03-26 09:35:00;btcusdt;Buy;Long;0.00447;52926.91;236.58328770000003;4.47e-06;0.23658328770000003;0.00446553;236.39479510048363;52694.79036229524;53275.08945655714;
1563;2021-03-26 09:40:00;btcusdt;Sell;Long;0.00446553;53275.08945655714;237.66360871071868;4.465529999999999e-06;0.23790151022093958;0.00446106447;237.7116993989023;-;-;Profit!
1564;2021-03-26 14:15:00;btcusdt;Buy;Long;0.00447;53200.01;237.80404470000002;4.47e-06;0.23780404470000002;0.00446553;237.47389535420228;52913.158931350416;53630.28660297438;
1565;2021-03-26 14:25:00;btcusdt;Buy;Long;0.00446553;52913.158931350416;236.0490133041105;4.465529999999999e-06;0.2362852986027132;0.00446106447;235.9566680030128;-;-;Loss!
1566;2021-03-26 18:20:00;btcusdt;Buy;Long;0.0044;53664.2;236.12248;4.4e-06;0.23612248;0.0043956;235.72054552301282;53377.44911228788;54094.32633156817;
1567;2021-03-26 22:10:00;btcusdt;Sell;Long;0.0043956;54094.32633156817;237.539243802218;4.395600000000001e-06;0.23777702082304109;0.0043912044;237.3734318052308;-;-;Profit!
1568;2021-03-26 23:20:00;btcusdt;Buy;Long;0.00439;54121.5;237.59338499999998;4.3899999999999995e-06;0.23759338499999996;0.00438561;237.1358384202308;53911.99460703526;54435.75808944711;
1569;2021-03-26 23:35:00;btcusdt;Sell;Long;0.00438561;54435.75808944711;238.49527102962546;4.38561e-06;0.23873400503466014;0.00438122439;238.27531783485628;-;-;Profit!
1570;2021-03-27 01:35:00;btcusdt;Buy;Long;0.00435;54729.69;238.0741515;4.35e-06;0.2380741515;0.0043456499999999995;238.03724368335625;54520.470026037554;55043.519960943675;
1571;2021-03-27 01:50:00;btcusdt;Sell;Long;0.0043456499999999995;55043.519960943675;238.96067264575657;4.34565e-06;0.23919987251827485;0.004341304349999999;239.16183898061286;-;-;Profit!
1572;2021-03-27 04:55:00;btcusdt;Buy;Long;0.00436;54828.14;239.0506904;4.360000000000001e-06;0.23905069040000004;0.00435564;238.92278829021285;54613.91433235443;55149.47850146836;
1573;2021-03-27 05:10:00;btcusdt;Buy;Long;0.00435564;54613.91433235443;237.64067127275365;4.3556400000000005e-06;0.23787854982257625;0.00435128436;237.7518198533665;-;-;Loss!
1574;2021-03-27 05:45:00;btcusdt;Buy;Long;0.00435;54717.65;238.02177749999998;4.35e-06;0.2380217775;0.0043456499999999995;237.5137980758665;54526.468241853094;55004.42263722036;
1575;2021-03-27 06:25:00;btcusdt;Sell;Long;0.0043456499999999995;55004.42263722036;238.7909392642032;4.34565e-06;0.23902996923343664;0.004341304349999999;238.5209816175697;-;-;Profit!
1576;2021-03-27 07:50:00;btcusdt;Buy;Long;0.00432;55255.42;238.70341439999999;4.32e-06;0.2387034144;0.00431568;238.28227820316968;55033.98608311137;55587.57087533294;
1577;2021-03-27 08:10:00;btcusdt;Buy;Long;0.00431568;55033.98608311137;237.27156398610288;4.3156799999999995e-06;0.23750907305916205;0.004311364319999999;237.0891312036726;-;-;Loss!
1578;2021-03-27 10:55:00;btcusdt;Buy;Long;0.00432;54945.0;237.3624;4.32e-06;0.2373624;0.00431568;236.85176880367257;54758.68715357722;55224.469269634166;
1579;2021-03-27 12:35:00;btcusdt;Buy;Long;0.00431568;54758.68715357722;236.08465000397516;4.3156799999999995e-06;0.2363209709749501;0.004311364319999999;235.81138120764774;-;-;Loss!
1580;2021-03-27 13:35:00;btcusdt;Buy;Long;0.0043;54804.56;235.659608;4.3e-06;0.23565960800000002;0.0042957;235.57572159964775;54611.425661376685;55094.26150793496;
1581;2021-03-27 13:40:00;btcusdt;Buy;Long;0.0042957;54611.425661376685;234.35970691236224;4.2957e-06;0.23459430121357583;0.0042914043;234.51148012001;-;-;Loss!
1582;2021-03-27 14:00:00;btcusdt;Buy;Short;0.00431;54442.89;234.64885589999997;4.309999999999999e-06;0.23464885589999995;0.004305689999999999;234.27683126410997;54648.8372114046;54133.969182893095;
1583;2021-03-27 14:10:00;btcusdt;Buy;Short;0.004305689999999999;54133.969182893095;234.64885589999997;4.3056899999999994e-06;0.23308408977109094;0.004301384309999999;235.37877304484599;-;-;Profit!
1584;2021-03-27 22:20:00;btcusdt;Buy;Long;0.00421;55870.39;235.21434190000002;4.21e-06;0.2352143419;0.00420579;235.14355870294597;55685.39073027561;56147.88890458658;
1585;2021-03-27 22:30:00;btcusdt;Buy;Long;0.00420579;55685.39073027561;233.96685842000642;4.20579e-06;0.23420105947948586;0.00420158421;234.13128956485238;-;-;Loss!
1586;2021-03-27 22:50:00;btcusdt;Buy;Long;0.00419;55863.4;234.06764600000002;4.1900000000000005e-06;0.23406764600000005;0.00418581;233.89722191885235;55689.75252030097;56123.87121954854;
1587;2021-03-27 23:15:00;btcusdt;Buy;Long;0.00418581;55689.75252030097;232.87361627400404;4.18581e-06;0.233106722997001;0.00418162419;232.9372598388564;-;-;Loss!
1588;2021-03-27 23:40:00;btcusdt;Buy;Long;0.00417;55902.02;233.11142339999998;4.17e-06;0.2331114234;0.00416583;232.7041484154564;55762.43447960211;56111.398280596826;
1589;2021-03-27 23:45:00;btcusdt;Sell;Long;0.00416583;56111.398280596826;233.5167957529594;4.1658299999999996e-06;0.23375054629925865;0.00416166417;233.34263219181582;-;-;Profit!
1590;2021-03-28 02:55:00;btcusdt;Buy;Long;0.00417;55920.05;233.1866085;4.17e-06;0.2331866085;0.00416583;233.10944558331582;55685.78244338817;56271.45133491776;
1591;2021-03-28 06:10:00;btcusdt;Sell;Long;0.00416583;56271.45133491776;234.1828828144259;4.1658299999999996e-06;0.23441730011454043;0.00416166417;234.33890650624173;-;-;Profit!
1592;2021-03-28 09:35:00;btcusdt;Buy;Long;0.00418;56057.75;234.321395;4.18e-06;0.234321395;0.004175819999999999;234.1045851112417;55909.84231154446;56279.61153268331;
1593;2021-03-28 09:35:00;btcusdt;Sell;Long;0.004175819999999999;56279.61153268331;234.7785139029792;4.17582e-06;0.2350135274304096;0.00417164418;234.79602540922093;-;-;Profit!
1594;2021-03-28 10:40:00;btcusdt;Buy;Long;0.00418;56172.33;234.80033939999998;4.18e-06;0.2348003394;0.004175819999999999;234.56122506982092;56016.59565388903;56405.93151916646;
